method,rho_label,rho,q0,delta,true_break,qhat,estimated_break,break_abs_error,el_stat,p_value,reject_5,feasible,score,score_variance,rss,strength,score_gap_stable_minus_estimated,rep,T,K,min_size,grid_step,penalty
estimated,0.50,0.5,0,0.0,,0,,,0.0006260053075030775,0.9800389326831194,False,True,-0.015136905130047567,0.36604743227330744,254.38540056872176,0.3282269063891598,0.0,24,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.9047986609724217,0.3414982641292029,False,True,-0.5422282663163346,0.33330492114536375,235.49525624556713,0.3399600343869439,0.0,25,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.9047986609724217,0.3414982641292029,False,True,-0.5422282663163346,0.33330492114536375,235.49525624556713,0.3399600343869439,0.0,25,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.9047986609724217,0.3414982641292029,False,True,-0.5422282663163346,0.33330492114536375,235.49525624556713,0.3399600343869439,0.0,25,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,1.6805999399878981,0.1948447536794431,False,True,0.7422953111922631,0.3296035197876269,234.24453730288133,0.3678244585005551,0.0,26,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,1.6805999399878981,0.1948447536794431,False,True,0.7422953111922631,0.3296035197876269,234.24453730288133,0.3678244585005551,0.0,26,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,1.6805999399878981,0.1948447536794431,False,True,0.7422953111922631,0.3296035197876269,234.24453730288133,0.3678244585005551,0.0,26,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.03783147170455084,0.8457819368418029,False,True,-0.10632001360876296,0.29969252859122586,219.28710850729416,0.34922543096023684,0.0,27,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.03783147170455084,0.8457819368418029,False,True,-0.10632001360876296,0.29969252859122586,219.28710850729416,0.34922543096023684,0.0,27,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.03783147170455084,0.8457819368418029,False,True,-0.10632001360876296,0.29969252859122586,219.28710850729416,0.34922543096023684,0.0,27,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,1.5817498365110207,0.2085088236319137,False,True,-0.6085535840743336,0.24829450038887782,210.4152123993784,0.2936395143657387,0.0,28,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,1.5817498365110207,0.2085088236319137,False,True,-0.6085535840743336,0.24829450038887782,210.4152123993784,0.2936395143657387,0.0,28,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,1.5817498365110207,0.2085088236319137,False,True,-0.6085535840743336,0.24829450038887782,210.4152123993784,0.2936395143657387,0.0,28,240,4,60,4,0.75
