DATE,PRCP_anom_mean,TAVG_anom_mean,PRCP_anom_std,TAVG_anom_std,N_stations
1990-03-23,-0.009411764705882354,0.6470588235294059,0.0,0.0,1
1990-03-24,-0.0012903225806451613,1.3225806451612954,0.0,0.0,1
1990-03-25,-0.0064516129032258064,1.3870967741935516,0.0,0.0,1
1990-03-26,-0.023548387096774193,3.225806451612897,0.0,0.0,1
1990-03-27,-0.05563467261904762,0.9311011904761912,0.03505422567014532,1.3880775727013093,4
1990-03-28,-0.049,-0.0833333333333286,0.06929646455628166,2.427733282073816,2
1990-03-29,-0.0006896551724137932,0.48275862068965125,0.0,0.0,1
1990-03-30,0.41309537493158177,-0.6023665670217397,0.9162299567927293,2.6234516887487236,6
1990-03-31,0.003928571428571434,0.5357142857142918,0.0,0.0,1
1990-04-01,-0.015161290322580644,-2.0781637717121626,0.021441302397269504,3.8057434451454637,2
