date,PRCP_anom_mean,TAVG_anom_mean,PRCP_anom_std,TAVG_anom_std,N_stations,log_price,log_price_lagt,log_return,log_return_forecast_target
1998-09-25,-0.08166666666666667,-2.194444444444443,0.14207783469321,0.17347216662217582,3,7.404011279371939,7.415289491993717,-0.01127821262177875,0.00906047585238312
1998-09-28,-0.0016666666666666668,0.7638888888888905,0.002886751345948129,2.106674797804282,3,7.413071755224322,7.404011279371939,0.00906047585238312,0.007016011633610653
1998-09-29,0.009666666666666662,1.1357142857142837,0.084194219912454,1.5446484310386623,6,7.420087766857932,7.413071755224322,0.007016011633610653,-0.018130270488698308
1998-09-30,-0.15625,0.8125,0.2215616919355269,0.898494110535326,4,7.401957496369234,7.420087766857932,-0.018130270488698308,-0.0005553063938856795
1998-10-01,-0.031,0.32777777777777717,0.06931810730249348,1.1253257415927875,5,7.401402189975348,7.401957496369234,-0.0005553063938856795,0.004616132966305031
1998-10-02,0.159462962962963,1.9398148148148142,0.4003786505122473,2.9255376559073185,6,7.406018322941653,7.401402189975348,0.004616132966305031,0.003172631909444057
1998-10-05,-0.02166666666666667,-0.0416666666666643,0.0683536555146996,1.0017346066809456,2,7.4091909548510975,7.406018322941653,0.003172631909444057,0.002625117944142552
1998-10-06,0.10258333333333333,-0.15833333333333427,0.14573818324500806,0.43938087754880367,5,7.41181607279524,7.4091909548510975,0.002625117944142552,-0.00431027321957167
1998-10-07,-0.12791666666666668,0.5416666666666666,0.10182961668067565,1.6971176545346918,3,7.407505799575668,7.41181607279524,-0.00431027321957167,0.00601833926560591
1998-10-08,0.018333333333333333,-0.41666666666666574,0.09412609745560592,1.565691185671328,5,7.413524138841274,7.407505799575668,0.00601833926560591,-0.004078838927338957
1998-10-09,0.00027777777777777783,-0.5833333333333334,0.031205709354159804,1.9797586833865495,6,7.409445299913935,7.413524138841274,-0.004078838927338957,-0.00734750018420538
1998-10-12,0.20961904761904765,-1.0190476190476203,0.3655664383688388,1.8327457314367914,5,7.40209779972973,7.409445299913935,-0.00734750018420538,-0.008853166674770208
1998-10-13,-0.024666666666666663,-0.5,0.05151051672555162,1.4907119849998611,5,7.39324463305496,7.40209779972973,-0.008853166674770208,0.009462952536877012
1998-10-14,-0.02,2.5,0.0,0.0,1,7.402707585591837,7.39324463305496,0.009462952536877012,0.02010236212632055
1998-10-15,-0.07833333333333334,1.8452380952380936,0.1647641411904369,2.8904801129650957,5,7.422809947718157,7.402707585591837,0.02010236212632055,-0.009587375214715976
1998-10-16,0.0,1.5714285714285694,0.0,0.0,1,7.413222572503441,7.422809947718157,-0.009587375214715976,-0.0037227784915065953
1998-10-19,0.22958333333333333,-1.086111111111111,0.6594209897073846,1.55386316667226,6,7.409499794011935,7.413222572503441,-0.0037227784915065953,0.01931456782161156
1998-10-20,0.05833333333333334,-0.75,0.11666666666666668,1.1013459778666093,4,7.428814361833546,7.409499794011935,0.01931456782161156,-0.012135266375015163
1998-10-21,0.007999999999999998,-0.9271428571428573,0.017888543819998316,1.686534304182302,5,7.416679095458531,7.428814361833546,-0.012135266375015163,-0.0010344994426896292
1998-10-22,-0.0019047619047619048,1.476190476190477,0.0032991443953692898,1.500566786341784,3,7.4156445960158415,7.416679095458531,-0.0010344994426896292,-0.005188611201260684
1998-10-23,-0.019375,-0.3154761904761898,0.05067769890856003,1.2853284253441717,4,7.410455984814581,7.4156445960158415,-0.005188611201260684,-0.007029329838130316
1998-10-26,0.0,0.16666666666666785,0.0,0.3333333333333357,4,7.4034266549764505,7.410455984814581,-0.007029329838130316,-0.007606831430922334
1998-10-27,-0.14916666666666664,0.7083333333333321,0.2806787408329237,1.3768926368215237,4,7.395819823545528,7.4034266549764505,-0.007606831430922334,-0.012277670561927856
1998-10-28,0.0,0.0,0.0,0.3535533905932738,5,7.3835421529836,7.395819823545528,-0.012277670561927856,0.007169998581811221
1998-10-29,-0.12261904761904763,2.529761904761905,0.24442769474669537,2.707201490339616,4,7.3907121515654115,7.3835421529836,0.007169998581811221,0.0004749436479212221
1998-10-30,-0.008888888888888889,0.5,0.015396007178390023,2.1666666666666665,3,7.391187095213333,7.3907121515654115,0.0004749436479212221,0.004221388863899556
1998-11-02,-0.046875,-1.7708333333333357,0.06629126073623882,1.266899649625901,2,7.395408484077232,7.391187095213333,0.004221388863899556,-0.007606427521688275
1998-11-03,0.0,-0.7777777777777762,0.0,1.9317042945237466,3,7.387802056555544,7.395408484077232,-0.007606427521688275,0.0027496734710812376
