x,w,n,std_beta,std_p,rho_hat,sieve_p,adaptive_p,adaptive_q,adaptive_breaks,pattern_score
lty,infl,1200,-0.002407580351040735,0.12109322965471693,0.9961837918213344,0.10087194057163429,0.10087194057163429,0,,0.0
lty,dfy,1200,-0.002407580351040735,0.12109322965471693,0.9961837918213344,0.07513070906130037,0.07513070906130037,0,,0.0
lty,svar,1200,-0.002407580351040735,0.12109322965471693,0.9961837918213344,0.08859215473801962,0.08859215473801962,0,,0.0
lty,ntis,1188,-0.002417306199942322,0.12263308688946178,0.9961404602974022,0.06148481162079622,0.06148481162079622,0,,0.0
lty,ep,1200,-0.002407580351040735,0.12109322965471693,0.9961837918213344,0.0549282108783814,0.0549282108783814,0,,0.0
tms,dfy,1200,0.0016612786703265369,0.28489455486436716,0.9648543809376331,0.1662066617367577,0.1662066617367577,0,,0.0
lty,tms,1200,-0.002407580351040735,0.12109322965471693,0.9961837918213344,0.11901961135203698,0.11901961135203698,0,,0.0
infl,ntis,1188,-0.0027697688830870325,0.0768614316427862,0.4834369837554369,0.030494485206850053,0.030494485206850053,0,,0.0
infl,ep,1200,-0.0028631358104519323,0.0651963416465979,0.4832603800920853,0.018586937381992463,0.018586937381992463,0,,0.0
infl,lty,1200,-0.0028631358104519323,0.0651963416465979,0.4832603800920853,0.03209643306252852,0.03209643306252852,0,,0.0
infl,tms,1200,-0.0028631358104519323,0.0651963416465979,0.4832603800920853,0.058269879382612744,0.058269879382612744,0,,0.0
infl,dfy,1200,-0.0028631358104519323,0.0651963416465979,0.4832603800920853,0.04116563035190246,0.04116563035190246,0,,0.0
infl,svar,1200,-0.0028631358104519323,0.0651963416465979,0.4832603800920853,0.0327376933041813,0.0327376933041813,0,,0.0
svar,bm,1200,0.0008553226944168302,0.5819855446063865,0.5742870656942524,0.5261351351547882,0.5261351351547882,0,,0.0
